,Release date,Artist,Album,Genre,Label,Producer
18,November 10 2017,Taylor Swift,Reputation,"Electropop, pop, Synth-pop",Big Machine,"Taylor Swift, Jack Antonoff, Max Martin, Shellback, Ali Payami, Oscar Görres, Oscar Holter"
19,November 10 2017,Tears for Fears,Rule the World – The Greatest Hits,Pop rock,Virgin EMI,"Alan Griffiths, Charlton Pettus, Chris Hughes, Dave Bascombe, Roland Orzabal, Ross Cullum, Tears for Fears, Tim Palmer"
20,November 10 2017,Walk the Moon,What If Nothing,,RCA,"Mike Crossey, Mike Elizondo, Captain Cuts"
21,November 17 2017,Barenaked Ladies,Fake Nudes,Alternative rock,Vanguard,Gavin Brown
22,November 17 2017,Baths,Romaplasm,Electronic,"Anticon, Tugboat Records",Baths
23,November 17 2017,Bob Seger,I Knew You When,Rock,Capitol,Bob Seger
24,November 17 2017,Faith Hill and Tim McGraw,The Rest of Our Life,Country,"Sony Music, Arista Nashville","Byron Gallimore, Faith Hill, Tim McGraw"
25,November 17 2017,Jeremy Riddle,More,"CCM, worship",Bethel Music,"Ran Jackson, Ricky Jackson, Nicolas Balachandran"
26,November 17 2017,Katharine McPhee,I Fall in Love Too Easily,Jazz,BMG,Don Was
27,November 17 2017,King Gizzard & the Lizard Wizard,Polygondwanaland,"Progressive rock, psychedelic rock, acid rock",ATO,Stu Mackenzie
28,November 17 2017,Mavis Staples,If All I Was Was Black,,Anti-,Jeff Tweedy
29,November 17 2017,Morrissey,Low in High School,,BMG,Joe Chiccarelli
30,November 17 2017,Negramaro,Amore che torni,,Sugar Music,
31,November 17 2017,Paloma Faith,The Architect,,"RCA, Epic","Paloma Faith, Jesse Shatkin, Starsmith, TMS, Klas Åhlund, Eg White, James F. Reynolds, Sam Klempner, Jonathan Green, Johnny ""Ghostwriter"" Harris, Samuel Dixon, Emre Ramazanoglu, Arnþór Birgisson, Jamie Hartman, Knox Brown, Thomas Brenneck, Homer Steinweiss"
32,November 17 2017,Sia,Everyday Is Christmas,Christmas,"Monkey Puzzle, Atlantic","Greg Kurstin, Sia"
33,November 17 2017,Tokio Myers,Our Generation,"Classical, downtempo, ambient",Syco,"Tokio Myers, Craigie Dodds, Guy Farley"
34,November 17 2017,Tove Lo,Blue Lips,"Electropop, dance-pop",Island,"The Struts, Ali Payami, Lukas Loules, Choukri Gustmann, Jack & Coke, Gustav Weber Vernet, Alex Hope"
35,November 24 2017,Björk,Utopia,"Electronica, ambient",One Little Indian,"Björk, Arca, Rabit"
36,November 24 2017,Cesare Cremonini,Possibili scenari,,Universal,Walter Mameli
37,November 24 2017,Fabolous and Jadakiss,Friday on Elm Street,"East Coast hip hop, horrorcore","Def Jam, Street Family, D-Block","Adrian Younge, Ben Billions, Buku, C-Sick, Doe Pesci, Grade A, KidExcluzive, Mally the Martian, Mark Henry, Marvino Beats, Neo da Matrix, Pav Bundy, R8, Reazy Renegade, Schife Karbeen, Sean C & LV, Swizz Beatz, Ted Smooth"
38,November 24 2017,Kaskade,Kaskade Christmas,Christmas,,
39,November 24 2017,Loreen,Ride,"Indie rock, pop rock, electronic",BMG,"Cazzette, Fredrik Sonefors, Petter Winnberg, Samuel Starck"
40,November 24 2017,Matt Terry,Trouble,Pop,Syco,"Steve Robson, Rayito, The Family, Freedo, Josh Wilkinson, Sky Adams, Red Triangle, RedOne, T. I. Jakke, Duck Blackwell, Pablo Fierro, Ronny Svendsen, The Beast, Future Cut"
41,November 24 2017,Noel Gallagher's High Flying Birds,Who Built the Moon?,Psychedelic rock,Sour Mash,"Noel Gallagher, David Holmes"
42,November 24 2017,"""Weird Al"" Yankovic","Squeeze Box: The Complete Works of ""Weird Al"" Yankovic",Comedy,Legacy,"Rick Derringer, ""Weird Al"" Yankovic"
43,November 24 2017,Xavier Naidoo,Für Dich.,"Pop, soul, R&B",Naidoo Records,
44,November 29 2017,B'z,Dinosaur,"Hard rock, pop rock",Vermillion Records,Tak Matsumoto
