,Release date,Artist,Album,Genre,Label,Producer
37,June 16 2015,Neil Young,The Monsanto Years,Rock,Reprise,"John Hanlon, Neil Young"
38,June 16 2015,Our Last Night,Younger Dreams,"Post-hardcore, alternative rock",,
39,June 16 2015,Ryn Weaver,The Fool,Indie pop,"Interscope, Mad Love","Michael Angelakos, Benny Blanco, Cashmere Cat"
40,June 16 2015,Third Eye Blind,Dopamine,"Alternative rock, power pop, pop rock",Mega Collider,Stephan Jenkins
41,June 19 2015,Borealis,Purgatory,"Power metal, Progressive metal",AFM,Borealis
42,June 19 2015,Christine Anu,ReStylin' Up 20 Years,"Jazz, soul, pop",Social Family,Steve Balbi
43,June 19 2015,Graveworm,Ascending Hate,"Melodic death metal, gothic metal",AFM,
44,June 21 2015,Four Tet,Morning/Evening,Electronic,Text,Kieran Hebden
45,June 22 2015,AOA,Heart Attack,"K-pop, electropop, dance-pop",FNC Entertainment,Brave Brothers
46,June 22 2015,Carly Rae Jepsen,E·MO·TION,"Pop, dance-pop","604, School Boy, Interscope, Universal","Ariel Rechtshaid, Peter Svensson, Shellback, Jeff Halatrax, Scooter Braun, Justin Bieber, Mattman & Robin, Christopher J Baran, Ben Romans, Dev Hynes, Stint, Zachary Gray, Rostam Batmanglij, Daniel A. Nigro, Greg Kurstin, The High Street, Carl Falk, Rami Yacoub, Greg Wells, LULOU, Wouter Janssen, Kyle Shearer, Keegan"
47,June 22 2015,The Ethical Debating Society,New Sense,"DIY punk, riot grrrl",Odd Box,Mark Jasper
48,June 22 2015,Everything Everything,Get to Heaven,"Indie rock, art rock, synthpop, electronic rock",RCA,Stuart Price
49,June 22 2015,Wolf Alice,My Love Is Cool,Alternative rock,Dirty Hit,Mike Crossey
50,June 23 2015,Breaking Benjamin,Dark Before Dawn,"Alternative metal, post-grunge",Hollywood,Benjamin Burnley
51,June 23 2015,Elijah Blake,Shadows & Diamonds,R&B,"ARTium, Def Jam",No I.D.
52,June 23 2015,Kacey Musgraves,Pageant Material,Country,Mercury Nashville,"Luke Laird, Shane McAnally, Kacey Musgraves"
53,June 23 2015,Lindemann,Skills in Pills,Industrial metal,Warner Music,Peter Tägtgren
54,June 23 2015,Son Lux,Bones,,Glassnote,Ryan Lott
55,June 23 2015,Tori Kelly,Unbreakable Smile,"Pop, R&B","Capitol, Schoolboy","Chuck Harmony, Ed Sheeran, Ilya Salmanzadeh, Johan Carlsson, Lukas Loules, Malay, Max Martin, Oren Yoel, Oscar Holter, OzGo, Rickard Goransson, The Struts, Toby Gad, Tori Kelly"
56,June 23 2015,Tyga,The Gold Album: 18th Dynasty,Hip hop,Last Kings,"Kanye West, Mike Dean, Jess Jackson, SAP, Dupri, FKi, Soundz, David D.A. Doman, D-Nice, Rasool Diaz, Bedrock"
57,June 28 2015,Wavves and Cloud Nothings,No Life for Me,"Post-punk, pop punk, indie rock",Ghost Ramp,"Joel Williams, Nathan Williams"
58,June 29 2015,Meek Mill,Dreams Worth More Than Money,Hip hop,"Maybach, Dream Chasers, Atlantic","Rick Ross, The Monarch, Jahlil Beats, Alex Delicata, Big J, Kevin Cossom, Danny Morris, Southside, Tory Lanez, Yung Exclusive, Metro Boomin, DJ Khaled, Stoopid On Da Beat, Play Picasso, The Mekanics, Remedy, Mr. Bangladesh, Danny Boy Styles, SykSense, OZ, Boi-1da, Cardo, Ben Billions, Allen Ritter, Vinylz, Cubeatz, Danja"
59,June 30 2015,August Burns Red,Found in Far Away Places,Melodic metalcore,Fearless,"Carson Slovak, Grant McFarland"
60,June 30 2015,Bilal,In Another Life,Neo soul,"eOne Music, Purpose Music Group",Adrian Younge
61,June 30 2015,Bonnie McKee,Bombastic,Pop,Bonnie McKee Music,"Alec Eskander, Sean Six Paddy Boyd, Oliver Goldstein, Greg Kurstin, Sean Walsh"
62,June 30 2015,Failure,The Heart Is a Monster,Alternative rock,INgrooves Music Group,Failure
63,June 30 2015,Man Overboard,Heavy Love,Pop punk,Rise,"Bill Stevenson, Jason Livermore"
64,June 30 2015,Metro Station,Savior,"Pop, pop rock, electronic",Metro Station Music,H. Vice
65,June 30 2015,Miguel,Wildheart,"R&B, rock","ByStorm, RCA","Miguel, Benny Blanco, Fisticuffs, Benny Cassette, Cashmere Cat, Salaam Remi, Happy Perez"
66,June 30 2015,Senses Fail,Pull the Thorns from Your Heart,Post-hardcore,Pure Noise,
67,June 30 2015,Vince Staples,Summertime '06,Hip hop,"ARTium, Def Jam","Brian Kidd, Christian Rich, Clams Casino, DJ Dahi, No I.D."
